ID,Question,Options,Correct_Answers,Images,Answer_Link
22,Given below are two statements and four conclusions drawn based on the statements. Statement 1: Some soaps are clean. Statement 2: All clean objects are wet. Conclusion I: Some clean objects are soaps. Conclusion II: No clean object is a soap. Conclusion III: Some wet objects are soaps. Conclusion IV: All wet objects are soaps. Which one of the following options can be logically inferred?,A: Only conclusion I is correct | B: Either conclusion I or conclusion II is correct | C: Either conclusion III or conclusion IV is correct | D: Only conclusion I and conclusion III are correct,['D'],,
23,Consider the following equations of straight lines: Line L1: 2x - 3y = 5 Line L2: 3x + 2y = 8 Line L3: 4x - 6y = 5 Line L4: 6x - 9y = 6 Which one among the following is the correct statement?,A: L1 is parallel to L2 and L1 is perpendicular to L3 | B: L2 is parallel to L4 and L2 is perpendicular to L1 | C: L3 is perpendicular to L4 and L3 is parallel to L2 | D: L4 is perpendicular to L2 and L4 is parallel to L3,['D'],,
24,"In a partnership business the monthly investment by three friends for the first
six months is in the ratio 3: 4: 5. After six months, they had to increase their
monthly investments by 10%, 15% and 20%, respectively, of their initial
monthly investment. The new investment ratio was kept constant for the next
six months. What is the ratio of their shares in the total profit (in the same order) at the end
of the year such that the share is proportional to their individual total investment
over the year?",A: 22:23:24 | B: 22:33:50 | C: 33 : 46 : 60 | D: 63 : 86 : 110,['D'],,
25,"In the last few years, several new shopping malls were opened in the city. The
total number of visitors in the malls is impressive. However, the total revenue
generated through sales in the shops in these malls is generally low. Which one of the following is the CORRECT logical inference based on the
information in the above passage?",A: Fewer people are visiting the malls but spending more | B: More people are visiting the malls but not spending enough | C: More people are visiting the malls and spending more | D: Fewer people are visiting the malls and not spending enough,['B'],,
26,"For the picture shown above, which one of the following is the correct picture
representing reflection with respect to the mirror shown as the dotted line?",A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/CE/20222/q60b.jpg, https://practicepaper.in/wp-content/uploads/GATE/CE/20222/q60a.jpg",
27,"A survey of 450 students about their subjects of interest resulted in the following outcome. 150 students are interested in Mathematics. 200 students are interested in Physics. 175 students are interested in Chemistry. 50 students are interested in Mathematics and Physics. 60 students are interested in Physics and Chemistry. 40 students are interested in Mathematics and Chemistry. 30 students are interested in Mathematics, Physics and Chemistry. Remaining students are interested in Humanities. Based on the above information, the number of students interested in
Humanities is",A: 10 | B: 30 | C: 40 | D: 45,['D'],,
28,"Both the numerator and the denominator of $frac{3}{4}$ are increased by a positive integer, x, and those of $frac{15}{17}$ are decreased by the same integer. This operation results in the same value for both the fractions. What is the value of x?",A: 1 | B: 2 | C: 3 | D: 4,['C'],,
29,$x:y:z=\frac{1}{2}:\frac{1}{3}:\frac{1}{4}$ What is the value of $frac{x+z-y}{y}$,A: 0.75 | B: 1.25 | C: 2.25 | D: 3.25,['B'],,
30,The movie was funny and I _________.,A: could help laughing | B: couldn't help laughed | C: couldn't help laughing | D: could helped laughed,['C'],,
31,"Consider a cube made by folding a single sheet of paper of appropriate shape.
The interior faces of the cube are all blank. However, the exterior faces that are
not visible in the above view may not be blank. Which one of the following represents a possible unfolding of the cube?",A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/CE/20221/q65b.jpg, https://practicepaper.in/wp-content/uploads/GATE/CE/20221/q65a.jpg",
32,"In the square grid shown on the left, a person standing at P2 position is required
to move to P5 position. The only movement allowed for a step involves, ""two moves along one
direction followed by one move in a perpendicular direction"". The permissible
directions for movement are shown as dotted arrows in the right. For example, a person at a given position Y can move only to the positions
marked X on the right. Without occupying any of the shaded squares at the end of each step, the
minimum number of steps required to go from P2 to P5 is",A: 4 | B: 5 | C: 6 | D: 7,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20221/q64.jpg,
33,"The above frequency chart shows the frequency distribution of marks obtained
by a set of students in an exam. From the data presented above, which one of the following is CORRECT?",A: mean $\gt$ mode $\gt$ median | B: mode $\gt$ median $\gt$ mean | C: mode $\gt$ mean $\gt$ median | D: median $\gt$ mode $\gt$ mean,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20221/q63.jpg,
34,"P invested Rs. 5000 per month for 6 months of a year and Q invested Rs. $x$ per
month for 8 months of the year in a partnership business. The profit is shared in
proportion to the total investment made in that year. If at the end of that investment year, Q receives $\frac{4}{9}$ of the total profit, what is the value of $x$ (in Rs)?",A: 2500 | B: 3000 | C: 4687 | D: 8437,['B'],,
35,"Healthy eating is a critical component of healthy aging. When should one start
eating healthy? It turns out that it is never too early. For example, babies who
start eating healthy in the first year are more likely to have better overall health
as they get older. Which one of the following is the CORRECT logical inference based on the
information in the above passage?","A: Healthy eating is important for those with good health conditions, but not for
others | B: Eating healthy can be started at any age, earlier the better | C: Eating healthy and better overall health are more correlated at a young age, but
not older age | D: Healthy eating is more important for adults than kids",['B'],,
36,"In the following diagram, the point R is the center of the circle. The lines PQ
and ZV are tangential to the circle. The relation among the areas of the squares,
PXWR, RUVZ and SPQT is",A: Area of SPQT = Area of RUVZ = Area of PXWR | B: Area of SPQT = Area of PXWR - Area of RUVZ | C: Area of PXWR = Area of SPQT - Area of RUVZ | D: Area of PXWR = Area of RUVZ - Area of SPQT,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20221/q60.jpg,
37,"Given the statements: P is the sister of Q. Q is the husband of R. R is the mother of S. T is the husband of P. Based on the above information, T is ______ of S.",A: the grandfather | B: an uncle | C: the father | D: a brother,['B'],,
38,"If p:q = 1:2 q:r = 4:3 r:s = 4:5 and u is 50% more than s, what is the ratio p?u?",A: 02:15 | B: 16:15 | C: 01:05 | D: 16:45,['D'],,
39,"Two straight lines pass through the origin $(x_0,y_0)=(0,0)$ . One of them passes
through the point $(x_1,y_1)=(1,3)$ and the other passes through the point $(x_2,y_2)=(1,2)$ . What is the area enclosed between the straight lines in the interval $[0,1]$ on
the x-axis?",A: 0.5 | B: 1 | C: 1.5 | D: 2,['A'],,
40,You should _________ when to say _________.,A: no / no | B: no / know | C: know / know | D: know / no,['D'],,
41,"In an equilateral triangle PQR, side PQ is divided into four equal parts, side QR is divided into six equal parts and side PR is divided into eight equals parts. The length of each subdivided part in cm is an integer. The minimum area of the triangle PQR possible, in $cm^2$ , is",A: 18 | B: 24 | C: $48 \sqrt{3}$ | D: $144 \sqrt{3}$,['D'],,
42,"In the figure shown above, PQRS is a square. The shaded portion is formed by the intersection of sectors of circles with radius equal to the side of the square and centers at S and Q. The probability that any point picked randomly within the square falls in the shaded area is __________",A: $4-\frac{\pi}{2}$ | B: $\frac{1}{2}$ | C: $\frac{\pi}{2}-1$ | D: $\frac{\pi}{4}$,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20212/q64.jpg,
43,"1.Some football players play cricket. 2.All cricket players play hockey. Among the options given below, the statement that logically follows from the two statements 1 and 2 above, is :",A: No football player plays hockey | B: Some football players play hockey | C: All football players play hockey | D: All hockey players play football,['B'],,
44,"The author said, ""Musicians rehearse before their concerts. Actors rehearse their roles before the opening of a new play. On the other hand, I find it strange that many public speakers think they can just walk onto the stage and start speaking. In my opinion, it is no less important for public speaker to rehearse their talks."" Based on the above passage., which one of the following is TRUE?","A: The author is of the opinion that rehearsing is important for musicians, actors and public speakers | B: The author is of the opinion that rehearsing is less important for public speakers than for musicians and actors | C: The author is of the opinion that rehearsing is more important only for musicians than public speakers | D: The author is of the opinion that rehearsal is more important for actors than musicians",['A'],,
45,"On a planar field, you travelled 3 units East from a point O. Next you travelled 4 units South to arrive at point P. Then you travelled from P in the North-East direction such that you arrive at a point that is 6 units East of point O. Next, you travelled in the North-West direction, so that you arrive at point Q that is 8 units North of point P. The distance of point Q to point O, in the same units, should be _____________",A: 3 | B: 4 | C: 5 | D: 6,['C'],,
46,"Four persons P, Q, R and S are to be seated in a row. R should not be seated at the second position from the left end of the row. The number of distinct seating arrangements possible is:",A: 6 | B: 9 | C: 18 | D: 24,['C'],,
47,"$\oplus$ and $\odot$ are two operators on numbers p and q such that $p \odot q=p-q$ , and $p \oplus q=p \times q$ Then, $(9 \odot(6 \oplus 7)) \odot(7 \oplus(6 \odot 5))=$",A: 40 | B: -26 | C: -33 | D: -40,['D'],,
48,Two identical cube shaped dice each with faces numbered 1 to 6 are rolled simultaneously. The probability that an even number is rolled out on each dice is:,A: $\frac{1}{36}$ | B: $\frac{1}{12}$ | C: $\frac{1}{8}$ | D: $\frac{1}{4}$,['D'],,
49,The mirror image of the above text about X-axis is,A: A | B: B | C: C | D: D,['B'],"https://practicepaper.in/wp-content/uploads/GATE/CE/20212/q57a.jpg, https://practicepaper.in/wp-content/uploads/GATE/CE/20212/q57b.jpg",
50,i. Arun and Aparna are here. ii. Arun and Aparna is here. iii. Arun's families is here. iv. Arun's family is here. Which of the above sentences are grammatically CORRECT?,A: (i) and (ii) | B: (i) and (iv) | C: (ii) and (iv) | D: (iii) and (iv),['B'],,
51,"Humans have the ability to construct worlds entirely in their minds, which don't exist in the physical world. So far as we know, no other species possesses this ability. This skill is so important that we have different words to refer to its different flavors, such as imagination, invention and innovation. Based on the above passage, which one of the following is TRUE?","A: No species possess the ability to construct worlds in their minds | B: The terms imagination, invention and innovation refer to unrelated skills | C: We do not know of any species other than humans who possess the ability to construct mental worlds | D: Imagination, invention and innovation are unrelated to the ability to construct mental worlds",['C'],,
52,"A function, $\lambda$ , is defined by $\lambda(p, q)=\left\{\begin{array}{cl} (p-q)^{2}, & \text { if } p \geq q \\ p+q, & \text { if } p \lt q \end{array}\right.$ The value of the expression $\frac{\lambda(-(-3+2),(-2+3))}{(-(-2+1))}$ is:",A: -1 | B: 0 | C: $\frac{16}{3}$ | D: 16,['B'],,
53,"Five line segments of equal lengths, PR, PS, QS, QT and RT are used to form a star as shown in the figure above. The value of $\theta$ , in degrees, is ________",A: 36 | B: 45 | C: 72 | D: 108,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20211/q8.jpg,
54,"Consider two rectangular sheets, Sheet M and Sheet N of dimensions 6cm x 4cm each. Folding operation 1: The sheet is folded into half by joining the short edges of the current shape. Folding operation 2: The sheet is folded into half by joining the long edges of the current shape. Folding operation 1 is carried out on Sheet M three times. Folding operation 2 is carried out on Sheet N three times. The ratio of perimeters of the final folded shape of Sheet N to the final folded shape of Sheet M is ____.",A: 0.546527778 | B: 0.126388889 | C: 0.295138889 | D: 0.217361111,['A'],,
55,"Statement: Either P marries Q or X marries Y Among the options below, the logical NEGATION of the above statement is :",A: P  does not marry Q and X marries Y | B: Neither P marries Q nor X marries Y | C: X does not marry Y and P marries Q | D: P marries Q and X marries Y,['B'],,
56,"A bag contains Violet (V), Yellow (Y), Red (R), and Green (G) balls. On counting them, the following results are obtained: (i) The sum of Yellow balls and twice the number of Violet balls is $50$ . (ii) The sum of Violet and Green balls is $50$ . (iii) The sum of Yellow and Red balls is $50$ . (iv) The sum of Violet and twice the number of Red balls is $50$ . Which one of the following Pie charts correctly represents the balls in the bag?",A: A | B: B | C: C | D: D,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20252/q60.webp,
57,"In the context of the given figure, which one of the following options correctly
represents the entries in the blocks labelled (i), (ii), (iii), and (iv), respectively?","A: Q, M, 12, and 8 | B: K, L, 10 and 14 | C: I, J, 10, and 8 | D: L, K, 12 and 8",['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20252/q59.webp,
58,"An electricity utility company charges $₹$ 7 per kWh (kilo watt-hour). If a 40-watt desk light is left on for 10 hours each night for 180 days, what would be the cost of energy consumption? If the desk light is on for 2 more hours each night for the 180 days, what would be the percentage-increase in the cost of energy consumption?",A: $₹$ 604.8; 10% | B: $₹$ 504; 20% | C: $₹$ 604.8; 12% | D: $₹$ 720; 15%,['B'],,
59,"The President, along with the Council of Ministers, ___________ to visit India next week. Select the most appropriate option to complete the above sentence.",A: wish | B: wishes | C: will wish | D: is wishing,['B'],,
60,"Even though I had planned to go skiing with my friends, I had to __________ at the last moment because of an injury. Select the most appropriate option to complete the above sentence.",A: back up | B: back of | C: back on | D: back out,['D'],,
61,"Four persons P, Q, R and S are to be seated in a row, all facing the same direction, but not necessarily in the same order. P and R cannot sit adjacent to each other. S should be seated to the right of Q. The number of distinct seating arrangements possible is:",A: 2 | B: 4 | C: 6 | D: 8,['C'],,
62,"$\oplus$ and $\odot$ are two operators on numbers p and q such that $p \oplus q=\frac{p^{2}+q^{2}}{p q}$ and $p \odot q=\frac{p^{2}}{q}$ ; If $x \oplus y=2 \odot 2$ , then x =",A: $\frac{y}{2}$ | B: y | C: $\frac{3y}{2}$ | D: 2y,['B'],,
63,"In a company, 35% of the employees drink coffee, 40% of the employees drink tea and 10% of the employees drink both tea and coffee. What % of employees drink neither tea nor coffee?",A: 15 | B: 25 | C: 35 | D: 40,['C'],,
64,The mirror image of the above test about the X-axis is,A:  | B:  | C:  | D: ,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20211/q2a.jpg,
65,Getting to the top is _____ than staying on top.,A: more easy | B: much easy | C: easiest | D: easier,['D'],,
66,"The monthly distribution of 9 Watt LED bulbs sold by two firms X and Y from January to June 2018 is shown in the pie-chart and the corresponding table. If the total number of LED bulbs sold by the two firms during April-June 2018 is 50000, then the number of LED bulbs sold by the firm Y during April-June 2018 is ________. Percentage of 9 Watt LED bulbs sold  by the firms X and Y from January 2018 to June,2018",A: 11250 | B: 9750 | C: 8750 | D: 8250,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20202/q65.jpg,
67,"In a school of 1000 students, 300 students play chess and 600 students play football. If 50 students play both chess and football, the number of students who play neither is _______",A: 200 | B: 150 | C: 100 | D: 50,['B'],,
68,The ratio of 'the sum of the odd positive integers from 1 to 100' to 'the sum of the even positive integers from 150 to 200' is ________,A: 45:95 | B: 01:02 | C: 50:91 | D: 01:01,['C'],,
69,"For the year 2019, which of the previous year's calendar can be used?",A: 2011 | B: 2012 | C: 2013 | D: 2014,['C'],,
70,"Nominal interest rate is defined as the amount paid by the borrower to the lender for using the borrowed amount for a specific period of time. Real interest rate calculated on the basis of actual value (inflation-adjusted), is approximately equal to the difference between nominal rate and expected rate of inflation in the economy. Which of the following assertions is best supported by the above information?","A: Under high inflation, real interest rate is low and borrowers get benefited | B: Under low inflation, real interest rate is high and borrowers get benefited | C: Under high inflation, real interest rate is low and lenders get benefited | D: Under low inflation, real interest rate is low and borrowers get benefited",['A'],,
71,"If $f(x) = x^2$ for each $x\in (-\infty,\infty)$ , then $\frac{f\left(f\left(f(x)\right)\right)}{f(x)}$ is equal to ______",A: $(f(x))$ | B: $(f(x))^2$ | C: $(f(x))^3$ | D: $(f(x))^4$,['C'],,
72,"After the inauguration of the new building, the Head of the Department (HoD) collated faculty preferences for office space. P wanted a room adjacent to the lab. Q wanted to be close to the lift. R wanted a view of the playground and S wanted a corner office. Assuming that everyone was satisfied, which among the following shows a possible allocation?",A: A | B: B | C: C | D: D,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20202/q59.jpg,
73,Select the word that fits the analogy: Partial : Impartial :: Popular: _______,A: Impopular | B: Dispopular | C: Mispopular | D: Unpopular,['D'],,
74,"Select the most appropriate word that can replace the underlined word without changing the meaning of the sentence: Now-a-days, most children have a tendency to belittle the legitimate concerns of their parents.",A: disparage | B: applaud | C: reduce | D: begrudge,['A'],,
75,Rescue teams deployed _______disaster hit areas combat_______a lot of difficulties to save the people.,"A: with, at | B: in, with | C: with, with | D: to, to",['B'],,
76,"The total expenditure of a family, on different activities in a month, is shown in the pie-chart. The extra money spent on education as compared to transport (in percent) is  ______.",A: 5 | B: 33.3 | C: 50 | D: 100,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20201/q65.jpg,
77,The unit's place in $26591749^{110016}$ is  ______,A: 1 | B: 3 | C: 6 | D: 9,['A'],,
78,"Insert seven numbers between 2  and 34, such that the resulting sequence including 2 and 34  is an arithmetic progression. The sum of these inserted seven numbers is  ______",A: 120 | B: 124 | C: 126 | D: 130,['C'],,
79,"Five friends P,Q,R,S and T went camping. At night, they had to sleep in a row inside the tent. P,Q and T refused to sleep next to R since he snored loudly. P and S wanted to avoid Q as he usually hugged people in sleep. Assuming everyone was satisfied with the sleeping arrangements, what is the order in which they slept?",A: RSPTQ | B: SPRTQ | C: QRSPT | D: QTSPR,['A'],,
80,"The sum of two positive numbers is 100. After subtracting 5 from each number, the product of the resulting numbers is 0. One of the original numbers is  ____",A: 80 | B: 85 | C: 90 | D: 95,['D'],,
81,"If 0, 1, 2, . . .  ,7, 8, 9  are coded as O, P, Q, . . . ,V, W, X, then 45 will be coded as  ______",A: TS | B: ST | C: SS | D: SU,['D'],,
82,"The American psychologist Howard Gardner expounds that human intelligence can be subcategorized into multiple kinds, in such a way that individuals differ with respect to their relative competence in each kind. Based on this theory, modern educationists insist on prescribing multi-dimensional curriculum and evaluation parameters that enable development and assessment of multiple intelligences. Which of the following statements can be inferred from the given text ?",A: Howard Gardener insists that the teaching curriculum and evaluation needs to be multi-dimensional. | B: Howard Gardener wants to develop and assess the theory of multiple intelligences. | C: Modern educationists want to develop and assess the theory of multiple intelligences. | D: Modern educationists insist that the teaching curriculum and evaluation needs to be multi-dimensional.,['D'],,
83,Select the word that fits the analogy: Fuse : Fusion :: Use :  ______,A: Usage | B: User | C: Uses | D: Usion,['A'],,
84,His hunger for reading is insatiable. He reads indiscriminately. He is most certainly a/an ______ reader.,A: Aall-round | B: precocious | C: voracious | D: wise,['C'],,
85,"It is a common criticism that most of the academicians live in their ________ , so, they are not aware of their real life challenges.",A: homes | B: ivory towers | C: glass palaces | D: big flats,['B'],,
86,"""popular Hindi fiction, despite - or perhaps because of - its wide reach, often does not appear in our cinema. As ideals that viewers are meant to look up to rather identify with, Hindi film protagonists usually read books of aspirational value: textbook, English books, or high-value literature."" Which one of the following CANNOT be inferred from the paragraph above?","A: Though popular Hindi fiction has wide reach, it often does not appear in the movies | B: Protagonists in Hindi movies, being ideals for viewers, read only books of aspirational value | C: Textbooks, English books or high literature have  aspirational value, but not popular Hindi fiction | D: People do not look up to writers of textbook, English books or high-value literature",['D'],,
87,"An oil tank can be filled by pipe X in 5 hours and pipe Y in 4 hours, each pump working on its own. When the oil tank is full and the drainage hole is open, the oil is drained in 20 hours. If initially the tank was empty and someone started the two pups together but left the drainage hole open, how many hours will it take for the tank to be filled? (Assume that the rate of drainage is independent of the Head)",A: 1.5 | B: 2 | C: 2.5 | D: 4,['C'],,
88,"The Newspaper reports that over 500 hectares of tribal land spread across 28 tribal settlements in Mohinitampuram forest division have already been ""alienated"". A top forest official said, ""First the tribals are duped out of their land holdings. Second, the families thus rendered landless are often forced to encroach further into the forests"". On the basis of the information available in the paragraph,______ is /are responsible for duping the tribals.",A: forest officials | B: landless families | C: The Newspaper | D: it can not be inferred who,['D'],,
89,Population of state X increased by x%  and the population of state Y increased by y% from 2001 to 2011. Assume that x is greater than y. Let P be the ratio of the population of state X to state Y in a given year. The percentage increase in P from 2001 to 2011 is ________,A: $\frac{x}{y}$ | B: $x-y$ | C: $\frac{100(x-y)}{100+x}$ | D: $\frac{100(x-y)}{100+y}$,['D'],,
90,"Mohan, the manager, wants his four workers to work in pairs. No pair should work for more than 5 hours. Ram and John have worked together for 5 hours. Krishna and Amir have worked as a team for 2 hours. Krishna does not want to work with Ram. Whom should Mohan allot to work with John, if he wants all the workers to continue working?",A: Amir | B: Krishna | C: Ram | D: None of three,['B'],,
91,Hema Das was_____ only Indian athlete to win _______ gold for India.,"A: the , many | B: the, a | C: an, a | D: an , the",['B'],,
92,"A retaining wall with measurements 30 m x  12 m x 6 m was constructed with bricks of dimensions  8 cm x 6 cm x 6 cm. If 60% of the wall consists of bricks,the number of bricks used for the construction is _______ lakhs.",A: 30 | B: 40 | C: 45 | D: 75,['C'],,
93,Suresh wanted to lay a new carpet in his new mansion with an area of 70 x 55 sq.mts. However an area of 550 sq. mts. had to be left out for flower pots. If the cost carpet is Rs.50  sq. mts. how much money (in Rs.) will be spent by Suresh for the carpet now?,"A: Rs.1,65,000 | B: Rs.1,92,500 | C: Rs.2,75,000 | D: Rs.1,27,500",['A'],,
94,The growth rate of ABC Motors in 2017 was the same ________ XYZ Motors in 2016.,A: as off | B: as those of | C: as that off | D: as that of,['D'],,
95,Daytime temperature in Delhi can ______ $40^{\circ}C$ .,A: get | B: stand | C: reach | D: peak,['C'],,
96,"P, Q, R, S and T are related and belong to the same family. P is the brother of S, Q is the wife of P. R and T are the children of the siblings P and S respectively. Which one of the following statement is necessarily FALSE?",A: S is the aunt of R | B: S is the aunt of T | C: S is the sister-in-law of Q | D: S is the brother of P,['B'],,
97,A square has side 5 cm smaller than the sides of a second square. The area of the larger square is four times the area of the smaller square. The side of the larger square is _______ cm.,A: 18.5 | B: 15.1 | C: 10 | D: 8.5,['C'],,
