ID,Question,Options,Correct_Answers,Images,Answer_Link
25,"""The increased consumption of leafy vegetables in the recent months is a clear indication that the people in the state have begun to lead a healthy lifestyle"" Which of the following can be logically inferred from the information presented in the above statement?",A: The people in the state did not consume leafy vegetables earlier. | B: Consumption of leafy vegetables may not be the only indicator of healthy lifestyle. | C: Leading a healthy lifestyle is related to a diet with leafy vegetables. | D: The people in the state have increased awareness of health hazards causing by consumption of junk foods.,['C'],,
26,"$If\left\{\begin{matrix} ""\oplus "" \text{ means }""-""\\ ""\otimes "" \text{ means }""\div ""\\ \\ ""\triangle "" \text{ means }""+""\\ \\ ""\triangledown "" \text{ means }""\times ""\\ \end{matrix}\right.$ then, the value of the expression $\triangle 2\oplus 3\triangle ((4\otimes 2)\triangledown 4)=$",A: -1 | B: -0.5 | C: 6 | D: 7,['D'],,
27,"In the above figure, O is the center of the circle and, M and N lie on the circle. The area of the right triangle MON is 50 $cm^2$ . What is the area of the circle in $cm^2$ ?",A: $2 \pi$ | B: $50 \pi$ | C: $75 \pi$ | D: $100 \pi$,['D'],https://practicepaper.in/wp-content/uploads/GATE/ME/20211/q58.jpg,
28,"Ms. X came out of a building through its front door to find her shadow due to the morning sun falling to her right side with the building to her back.
From this, it can be inferred that building is facing _____",A: North | B: East | C: West | D: South,['D'],,
29,"Consider the following sentences: (i) After his surgery, Raja hardly could walk. (ii) After his surgery, Raja could barely walk. (iii) After his surgery, Raja barely could walk. (iv) After his surgery, Raja could hardly walk. Which of the above sentences are grammatically CORRECT",A: (i) and (ii) | B: (i) and (iii) | C: (iii) and (iv) | D: (ii) and (iv),['D'],,
30,"The two pie-charts given below show the data of total students and only girls registered in different streams in a university. If the total number of students registered in the university is 5000, and the total number of the registered girls is 1500; then, the ratio of boys enrolled in Arts to the girls enrolled in Management is _____",A: 02:01 | B: 09:22 | C: 11:09 | D: 22:09,['D'],https://practicepaper.in/wp-content/uploads/GATE/ME/20202/q65.jpg,https://me.gateoverflow.in/1813/gate-mechanical-2020-set-2-ga-question-10#a_list
31,"An engineer measures THREE quantities, X,Y and Z in an experiment. She finds that they follow a relationship that is represented in the figure below:(the product of X and Y linearly varies with Z) Then, which of the following statements is FALSE?",A: For fixed Z; X is proportional to Y | B: For fixed Y; X is proportional to Z | C: For fixed X; Z is proportional to Y | D: XY/Z is constant,['A'],https://practicepaper.in/wp-content/uploads/GATE/ME/20202/q64.jpg,https://me.gateoverflow.in/1814/gate-mechanical-2020-set-2-ga-question-9#a_list
32,"IT was estimated that 52 men can complete a strip in a newly constructed highway connecting cities P and Q in 10 days, Due to an emergency, 12 men were sent to another project. How many number of days, more than the original estimate, will be required to complete the strip?",A: 3 days | B: 5 days | C: 10 days | D: 13 days,['A'],,https://me.gateoverflow.in/1815/gate-mechanical-2020-set-2-ga-question-8#a_list
33,Find the missing element in the following figure.,A: d | B: e | C: w | D: y,['A'],https://practicepaper.in/wp-content/uploads/GATE/ME/20202/q62.jpg,https://me.gateoverflow.in/1816/gate-mechanical-2020-set-2-ga-question-7#a_list
34,"Climate change and resilience deal with two aspects - reduction of sources of non-renewable energy resources and reducing vulnerability of climate change aspects. The terms 'mitigation' and 'adaptation' are used to refer to these aspects, respectively. Which of the following assertions is best supported by the above information?",A: Mitigation deals with consequences of climate change | B: Adaptation deals with causes of climate change | C: Mitigation deals with actions taken to reduce the use of fossil fuels. | D: Adaptation deals with actions taken to combat green-house gas emissions,['C'],,https://me.gateoverflow.in/1817/gate-mechanical-2020-set-2-ga-question-6#a_list
35,"There are five levels {P,Q,R,S,T} in a linear supply chain before a product reaches customers, as shown in the figure. At each of the five levels, the price of the product is increased by 25%. If the product is produced at level P at the cost of Rs. 120 per unit, what is the price paid (in rupees) by the customers?",A: 187.5 | B: 234.38 | C: 292.96 | D: 366.21,['D'],https://practicepaper.in/wp-content/uploads/GATE/ME/20202/q60.jpg,https://me.gateoverflow.in/1818/gate-mechanical-2020-set-2-ga-question-5#a_list
36,"In one of the greatest innings ever seen in 142 years of Test history, Ben Stokes upped the tempo in a five-and-a-half hour long stay of 219 balls including 11 fours and 8 sixes that saw him finish on a 135 not out as England squared the five-match series. Based on their connotations in the given passage, which one of the following meanings DOES NOT match?",A: upped = increased | B: squared = lost | C: tempo = enthusiasm | D: saw = resulted in,['B'],,https://me.gateoverflow.in/1819/gate-mechanical-2020-set-2-ga-question-4#a_list
37,Select the word that fits the analogy: White: Whitening : : Light : _____,A: Lightning | B: Lightening | C: CLighting | D: Enlightening,['B'],,https://me.gateoverflow.in/1820/gate-mechanical-2020-set-2-ga-question-3#a_list
38,The recent measures to improve the output would ______ the level of production to our satisfaction.,A: increase | B: decrease | C: Cspeed | D: equalise,['A'],,https://me.gateoverflow.in/1821/gate-mechanical-2020-set-2-ga-question-2#a_list
39,"While I agree _____ his proposal this time, I do not often agree ______ him.","A: to, with | B: with, to | C: with, with | D: to, to",['A'],,https://me.gateoverflow.in/1822/gate-mechanical-2020-set-2-ga-question-1#a_list
40,"The bar graph shows the data of the students who appeared and passed in an examination for four schools P, Q, R, and S. The average of success rates (in percentage) of  these four schools is _______.",A: 58.50% | B: 58.80% | C: 59.00% | D: 59.30%,['C'],https://practicepaper.in/wp-content/uploads/GATE/ME/20201/q65.jpg,https://me.gateoverflow.in/1711/gate-mechanical-2020-set-1-ga-question-10#a_list
41,"Select the graph that schematically represents BOTH $y=x^m$ and $y=x^{1/m}$ properly in the interval $o\leq x\leq 1$ , for integer values of m, where $m \gt 1$ .",A: A | B: B | C: C | D: D,['A'],https://practicepaper.in/wp-content/uploads/GATE/ME/20201/q64.jpg,https://me.gateoverflow.in/1712/gate-mechanical-2020-set-1-ga-question-9#a_list
42,"The sum of the first n terms in the sequence 8, 88, 888, 8888, ... is ______",A: $\dfrac{81}{80}\left ( 10^{n}-1 \right )+\dfrac{9}{8}n$ | B: $\dfrac{81}{80}\left ( 10^{n}-1 \right )-\dfrac{9}{8}n$ | C: $\dfrac{80}{81}\left ( 10^{n}-1 \right )+\dfrac{8}{9}n$ | D: $\dfrac{80}{81}\left ( 10^{n}-1 \right )-\dfrac{8}{9}n$,['D'],,https://me.gateoverflow.in/1713/gate-mechanical-2020-set-1-ga-question-8#a_list
43,"P, Q, R  and S are to be uniquely coded using $\alpha$ and $\beta$ . If P is coded as $\alpha \alpha$ and Q as $\alpha \beta$ , then R and S, respectively, can be coded as ________.",A: $\beta \alpha$ and $\alpha \beta$ | B: $\beta \beta$ and $\alpha \alpha$ | C: $\alpha  \beta$ and $\beta \beta$ | D: $\beta \alpha$ and $\beta \beta$,['D'],,https://me.gateoverflow.in/1714/gate-mechanical-2020-set-1-ga-question-7#a_list
44,"Crowd funding deals with mobilisation of funds for a project from a large number of people, who would be willing to invest smaller amounts through web-based platforms in the project. Based on the above paragraph, which of the following is correct about crowd funding?",A: Funds raised through unwilling contributions on web-based platforms | B: Funds raised through large contributions on web-based platforms | C: Funds raised through coerced contributions on web-based platforms | D: Funds raised through voluntary contributions on web-based platforms,['D'],,https://me.gateoverflow.in/1715/gate-mechanical-2020-set-1-ga-question-6#a_list
45,"Define $[x]$ as the greatest integer less than or equal to $x$ , for each $x \in (-\infty ,\infty )$ . If $y=[x]$ , then area under $y$ for $x \in [1,4]$ is _______.",A: 1 | B: 3 | C: 4 | D: 6,['D'],,https://me.gateoverflow.in/1716/gate-mechanical-2020-set-1-ga-question-5#a_list
46,"I do not think you know the case well enough to have opinions. Having said that, I agree with your other point. What does the phrase ""having said that"" mean in the given text?",A: as opposed to what I have said | B: despite what I have said | C: in addition to what I have said | D: contrary to what I have said,['B'],,https://me.gateoverflow.in/1717/gate-mechanical-2020-set-1-ga-question-4#a_list
47,Select the word that fits the analogy: Build : Building :: Grow : ________,A: Grown | B: Grew | C: Growth | D: Growed,['C'],,https://me.gateoverflow.in/1718/gate-mechanical-2020-set-1-ga-question-3#a_list
48,"Jofra Archer, the England fast bowler, is _______than accurate.",A: more fast | B: faster | C: less fast | D: more faster,['A'],,https://me.gateoverflow.in/1719/gate-mechanical-2020-set-1-ga-question-2#a_list
49,He is known for his unscrupulous ways. He always sheds ________tears to deceive people.,A: fox's | B: crocodile's | C: crocodile | D: fox,['C'],,https://me.gateoverflow.in/1720/gate-mechanical-2020-set-1-ga-question-1#a_list
50,"X  is an online media provider. By offering unlimited and exclusive online content at attractive prices for a loyalty membership, X is almost forcing its customers towards its loyalty membership. If its royalty membership continues to grow at its current rate, within the next eight years more households will be watching X than cable television. Which one of the following statements can be inferred from the above paragraph?",A: Most households that subscribe to X's loyalty membership discontinue watching cable television | B: Non-members prefer to watch cable television | C: Cable television operators don't subscribe to X's loyalty members | D: The X is cancelling accounts of non-members,['A'],,https://me.gateoverflow.in/1462/gate-mechanical-2019-set-2-ga-question-10#a_list
51,"Mola is a digital platform for taxis in a city. It offers three types of rides - Pool, Mini and Prime.The table below presents the number of rides for the past four months. The platform earns one US dollar per ride. What is the percentage share of the revenue contributed by Prime to the total revenues of Mola, for the entire duration? $\begin{array}{|l|llll|}\hline \textbf{Type}  &  \textbf{Month}\\ & \textbf{January} & \textbf{February}  & \textbf{March} & \textbf{April}\\\hline \textbf{Pool} & \text{170}& \text{320} & \text{215} & \text{190} \\\hline \textbf{Mini} & \text{110}& \text{220} & \text{180} & \text{70} \\\hline \textbf{Prime} & \text{75}& \text{180} & \text{120} & \text{90} \\\hline  \end{array}$",A: 16.24 | B: 23.97 | C: 25.86 | D: 38.74,['B'],,https://me.gateoverflow.in/1463/gate-mechanical-2019-set-2-ga-question-9#a_list
52,"While teaching a creative writing class in India, I was surprised at receiving stories from the students that were all set in distant places: in the American West with cowboys and in Manhattan penthouses with clinking ice cubes. This was, till an eminent Caribbean writer gave the writers in the once-colonised countries the confidence to see the shabby lives around them as worthy being ""told"". The writer of this passage is surprised by the creative writing assignments of his students, because _____",A: Some of the students had written stories set in foreign places | B: None of the students had written stories set in India | C: None of the students had written about ice cubes and cowboys | D: Some of the students had written about ice cubes and cowboys,['B'],,https://me.gateoverflow.in/1464/gate-mechanical-2019-set-2-ga-question-8#a_list
53,"Two pipes P and Q can fill a tank in 6 hours and 9 hours respectively, while a third pipe R can empty the tank in 12 hours.  Initially, P and R are open for 4 hours, Then P is closed and Q is opened. After 6 more hours R is closed. The total time taken to fill the tank (in hours) is  ____",A: 13.5 | B: 14.5 | C: 15.5 | D: 16.5,['B'],,https://me.gateoverflow.in/1465/gate-mechanical-2019-set-2-ga-question-7#a_list
54,"Fiscal deficit was 4% of the GDP in 2015 and that increased to 5% in 2016. If the GDP increased by 10% from 2015 to 2016, the percentage increase in the actual fiscal deficit is ____",A: 37.5 | B: 35.7 | C: 25 | D: 10,['A'],,https://me.gateoverflow.in/1466/gate-mechanical-2019-set-2-ga-question-6#a_list
55,Are there enough seats here? There are ____ people here than I expected,A: many | B: most | C: least | D: more,['D'],,https://me.gateoverflow.in/1467/gate-mechanical-2019-set-2-ga-question-5#a_list
56,"The ceiling function of a real number $x$ , denoted by $ce(x)$ , is defined as the smallest integer that is greater than or equal to $x$ . Similarly, the floor function, denoted by $fl(x)$ is defined as the largest integer that is smaller than or equal to $x$ . Which one of the following statements is NOT correct for all possible values of $x$ ?",A: $ce(x)\ge x$ | B: $fl(x)\le x$ | C: $ce(x)\ge fl(x)$ | D: $fl(x) < ce(x)$,['D'],,
57,"Two cars, P and Q, start from a point X in India at 10 AM. Car P travels North with a speed of $25~km/h$ and car Q travels East with a speed of $30~km/h.$ Car P travels continuously but car Q stops for some time after travelling for one hour. If both the cars are at the same distance from X at 11:30 AM, for how long (in minutes) did car Q stop?",A: 10 | B: 12 | C: 15 | D: 18,['C'],,
58,Identify the grammatically correct sentence:,A: It is I who am responsible for this fiasco. | B: It is myself who is responsible for this fiasco. | C: It is I who is responsible for this fiasco. | D: It is I who are responsible for this fiasco.,['A'],,
59,Fish: Shoal :: Lion: ________ Select the correct option to complete the analogy.,A: Pride | B: School | C: Forest | D: Series,['A'],,
60,"Four equilateral triangles are used to form a regular closed three-dimensional object
by joining along the edges. The angle between any two faces is",A: $30^{\circ}$ | B: $60^{\circ}$ | C: $45^{\circ}$ | D: $90^{\circ}$,['A'],,
61,"The product of three integers X, Y and Z is 192. Z is equal to 4 and P is equal to the average of X and Y. What is the minimum possible value of P?",A: 6 | B: 7 | C: 8 | D: 9.5,['B'],,https://me.gateoverflow.in/1468/gate-mechanical-2019-set-2-ga-question-4#a_list
62,"If IMHO=JNIP; IDK=JEL; and SO=TP, then IDC=____",A: JDE | B: JED | C: JDC | D: JCD,['B'],,https://me.gateoverflow.in/1469/gate-mechanical-2019-set-2-ga-question-3#a_list
63,A final examination is the ____ of a series of evaluations that a student has to go through,A: culmination | B: consultation | C: desperation | D: insinuation,['A'],,https://me.gateoverflow.in/1470/gate-mechanical-2019-set-2-ga-question-2#a_list
64,"Once the team of analysis identify the problem, we ____ in a better position to comment on the issue. Which of the following choices CANNOT fill the given blank?",A: will be | B: were to be | C: are going to be | D: might be,['B'],,https://me.gateoverflow.in/1471/gate-mechanical-2019-set-2-ga-question-1#a_list
65,"M  and N had four children P, Q, R and S. Of them, only P and R were married. They had children X and Y respectively. If Y is a legitimate child of W, which of the following statements is necessarily FALSE?",A: M is the grandmother of Y | B: R is the father of Y | C: W is the wife of R | D: W is the wife of P,['D'],,https://me.gateoverflow.in/1397/gate-mechanical-2019-set-1-ga-question-10#a_list
66,"A firm hires employees at five different skill levels P, Q, R, S, T. The shares of employment at these skills levels of total employment in 2010 is given in the pie chart as shown. There were a total of 600 employees in 2010 and the total employment increased by 15% from 2010 to 2016. The total employment at skill levels P, Q and R remained unchanged during this period. If the employment at skill level S increased by 40% from 2010 to 2016, how many employees were there at skill level T in 2016?",A: 30 | B: 35 | C: 60 | D: 72,['C'],https://practicepaper.in/wp-content/uploads/GATE/ME/20191/q64.webp,https://me.gateoverflow.in/1398/gate-mechanical-2019-set-1-ga-question-9#a_list
67,"Congo was named by Europeans, Congo's dictator Mobuto later changed the name of the county and the river to Zaire with the objective of Africanising names of persons and spaces. However, the name Zaire was a Portuguese alteration of Nzadi O Nzere, a local African term meaning 'River that swallows Rivers'. Zaire was the Portuguese name for the Congo river in the 16th and 17th centuries. Which one of the following statements can be inferred from the paragraph above?",A: Mobuto was not entirely successful in Africanising?the name of his country | B: The term?Nzadi o Nzere?was a Portuguese origin | C: Mobuto desire to Africanise names was prevented by the Portuguese | D: As a dictator Mobuto ordered the Portuguese to alter the name of the river to Zaire,['A'],,https://me.gateoverflow.in/1399/gate-mechanical-2019-set-1-ga-question-8#a_list
68,"A person divided an amount of Rs. 100,000 into two parts and invested in two different schemes. In one he got 10% profit and in the other he got 12%. If the profit percentages are interchanged with these investments he would have got Rs. 120 less. Find the ratio between his investments in the two schemes.",A: 09:16 | B: 11:14 | C: 37:63 | D: 47:53:00,['D'],,https://me.gateoverflow.in/1400/gate-mechanical-2019-set-1-ga-question-7#a_list
69,"Under a certain legal system, prisoners are allowed to make one statement. If their statements turns out to be true then they are hanged. If the statements turns to be false then they are shot. One prisoner made a statement and the judge had no option but to set him free. Which one of the following could be that statement?",A: I did not commit the crime | B: I committed the crime | C: I will be shot | D: You committed the crime,['C'],,https://me.gateoverflow.in/1401/gate-mechanical-2019-set-1-ga-question-6#a_list
70,The minister avoided any mention of the issue of women's reservation in the private sector. He was accused of ______ the issue.,A: collaring | B: skirting | C: tying | D: belting,['B'],,https://me.gateoverflow.in/1402/gate-mechanical-2019-set-1-ga-question-5#a_list
71,The sum and product of two integers are 26 and 165 respectively. The difference between these two integers is ______,A: 2 | B: 3 | C: 4 | D: 6,['C'],,https://me.gateoverflow.in/1403/gate-mechanical-2019-set-1-ga-question-4#a_list
72,A worker noticed that the hour hand on the factory clock had moved by 225 degrees during her stay at the factory. For how long did she stay in the factory?,A: 3.75 hours | B: 4 hours and 15 mins | C: 8.5 hours | D: 7.5 hours,['D'],,https://me.gateoverflow.in/1404/gate-mechanical-2019-set-1-ga-question-3#a_list
73,"____I permitted him to leave, I wouldn't have had any problem with him being absent, ____ I?","A: Had, wouldn't | B: Have, would | C: Had, would | D: Have, wouldn't",['C'],,https://me.gateoverflow.in/1405/gate-mechanical-2019-set-1-ga-question-2#a_list
74,"John Thomas, an _________ writer, passed away in 2018.",A: imminent | B: prominent | C: eminent | D: dominant,['C'],,https://me.gateoverflow.in/1406/gate-mechanical-2019-set-1-ga-question-1#a_list
75,"An unbiased coin is tossed six times in a row and four different such trials are conducted. One trial implies six tosses of the coin. If H stands for head ans T stands for tail, the following are the observations from the four trials. 1. HTHTHT 2. TTHHHT 3. HTTHHT 4. HHHT_ _ Which statement describing the last two coin tosses of the fourth trial has the highest probability of being correct?",A: Two T will occur. | B: One H and one T will occur. | C: Two H will occur. | D: One H wll be followed by one T.,['B'],,
76,"A house has a number which need to be identified. The following three statements are given that can help in identifying the house number? i. If the house number is a multiple of 3, then it is a number from 50 to 59. ii.  If the house number is NOT a multiple of 4, then it is a number from 60 to 69. iii.  If the house number is NOT a multiple of 6, then it is a number from 70 to 79. What is the house number?",A: 54 | B: 65 | C: 66 | D: 76,['D'],,
77,"A contract is to be completed in 52 days and 125 identical robots were employed, each operational for 7 hours a day. After 39 days, five-seventh of the work was completed. How many additional robots would be required to complete the work on time, if each robot is now operational for 8 hours a day?",A: 50 | B: 89 | C: 146 | D: 175,[],,
78,"A wire would enclose an area of $1936 m^2$ , if it is bent to a square. The wire is cut into two pieces. The longer piece is thrice as long as the shorter piece. The long and the short pieces are bent into a square and a circle, respectively. Which of the following choices is closest to the sum of the areas enclosed by the two pieces in square meters?",A: 1096 | B: 1111 | C: 1243 | D: 2486,['C'],,
79,"Forty students watched films A, B and C over a week. Each student watched either only one film or all three. Thirteen students watched film A, sixteen students watched film B and nineteen students watched film C. How many students watched all three films?",A: 0 | B: 2 | C: 4 | D: 8,['C'],,
80,The value of the expression $\frac{1}{1+ \log_u \: vw} + \frac{1}{1+ \log_v \: wu} + \frac{1}{1+\log_w uv}$ is ______,A: -1 | B: 0 | C: 1 | D: 3,['C'],,
81,"The perimeters of a circle, a square, and an equilateral triangle are equal. Which one of the following statements is true?",A: The circle has the largest area | B: The square has the largest area | C: The equilateral triangle?has the largest area | D: All the three shapes have the same area,['A'],,
82,"Find the missing group of letters in the following series: BC, FCH, LMNO, ____",A: UVWXY | B: TUVWX | C: STUVW | D: RSTUV,['B'],,
83,""" The judge's standing in the legal; community, though shaken by false allegations of wrongdoing. remained ______ ."" The word that best fills the blank in the above sentence is",A: undiminished | B: damaged | C: illegal | D: uncertain,['A'],,
84,"""The dress ______ her so well that they all immediately _______ her on her appearance."" The words that best fill the blanks in the above sentence are","A: complemented, complemented | B: complimented, complemented | C: complimented, complimented | D: complemented, complimented",['D'],,
85,Consider the following three statements: i.  Some roses are red. ii.  All red flowers fade quickly. iii.  some roses fade quickly. Which of the following statements can be logically inferred from the above statements?,"A: If (i) is true and (ii) is false, then (iii) is false. | B: If (i) is true and (ii) is false, then (iii) is true. | C: If (i) and (ii) are true, then (iii) is true. | D: If (i) and (ii) are false, then (iii) is false.",['C'],,
86,Which of the following functions describe the graph shown in the below figure?,A: $y=\mid \mid x \mid + 1 \mid -2$ | B: $y=\mid \mid x \mid - 1 \mid -1$ | C: $y=\mid \mid x \mid + 1 \mid -1$ | D: $y=\mid \mid x - 1\mid  -1\mid$,['B'],https://practicepaper.in/wp-content/uploads/GATE/ME/20181/q64.jpg,
87,"From the time the front of a train enters a platform, it takes 25 seconds for the back of the train to leave the platform, while traveling at a constant speed of 54 km/h. At the same speed, it takes 14 seconds to pass a man running at 9 km/h in the same direction as the train. What is the length of the train and that of the platform in meters, respectively?",A: 210 and 140 | B: 162.5 and 187.5 | C: 245 and 130 | D: 175 and 200,['D'],,
88,"Given that $a \text{ and }b$ are integers and $a+a^2b^3$ is odd, which of the following statements is correct?",A: a and b are both odd | B: a and b are both even | C: a is even and b is odd | D: a is odd and b is even,['D'],,
