ID,Question,Options,Correct_Answers,Images,Answer_Link
11,"A plot of land must be divided between four families. They want their individual plots to be similar in shape, not necessarily equal in area. The land has equally spaced poles, marked as dots in the below figure. Two ropes, R1 and R2, are already present and cannot be moved.
What is the least number of additional straight ropes needed to create the desired plots? A single rope can pass through three poles that are aligned in a straight line.",A: 2 | B: 4 | C: 5 | D: 3,['D'],https://practicepaper.in/wp-content/uploads/GATE/CS/20221/q65.jpg,https://gateoverflow.in/371496/Gate-cse-2022-question-10#a_list_title
12,"The corners and mid-points of the sides of a triangle are named using the distinct letters P, Q, R, S, T and U, but not necessarily in the same order. Consider the following statements: The line joining P and R is parallel to the line joining Q and S. P is placed on the side opposite to the corner T. S and U cannot be placed on the same side. Which one of the following statements is correct based on the above information?",A: P cannot be placed at a corner | B: S cannot be placed at a corner | C: U cannot be placed at a mid-point | D: R cannot be placed at a corner,['B'],,https://gateoverflow.in/371497/Gate-cse-2022-question-9#a_list_title
13,"A box contains five balls of same size and shape. Three of them are green coloured balls and two of them are orange coloured balls. Balls are drawn from the box one at a time. If a green ball is drawn, it is not replaced. If an orange ball is drawn, it is replaced with another orange ball. First ball is drawn. What is the probability of getting an orange ball in the next draw?",A: $\frac{1}{2}$ | B: $\frac{8}{25}$ | C: $\frac{19}{50}$ | D: $\frac{23}{50}$,['D'],,https://gateoverflow.in/371498/Gate-cse-2022-question-8#a_list_title
14,"In a recently conducted national entrance test, boys constituted 65% of those who appeared for the test. Girls constituted the remaining candidates and they accounted for 60% of the qualified candidates. Which one of the following is the correct logical inference based on the information provided in the above passage?",A: Equal number of boys and girls qualified | B: Equal number of boys and girls appeared for the test | C: The number of boys who appeared for the test is less than the number of girls who appeared | D: The number of boys who qualified the test is less than the number of girls who qualified,['D'],,https://gateoverflow.in/371499/Gate-cse-2022-question-7#a_list_title
15,"Some people believe that ""what gets measured, improves"". Some others believe that ""what gets measured, gets gamed"". One possible reason for the difference in the beliefs is the work culture in organizations. In organizations with good work culture, metrics help improve outcomes. However, the same metrics are counterproductive in organizations with poor work culture. Which one of the following is the CORRECT logical inference based on the information in the above passage?",A: Metrics are useful in organizations with poor work culture | B: Metrics are useful in organizations with good work culture | C: Metrics are always counterproductive in organizations with good work culture | D: Metrics are never useful in organizations with good work culture,['B'],,https://gateoverflow.in/371500/Gate-cse-2022-question-6#a_list_title
16,"A palindrome is a word that reads the same forwards and backwards. In a game of words, a player has the following two plates painted with letters. From the additional plates given in the options, which one of the combinations of additional plates would allow the player to construct a five-letter palindrome. The player should use all the five plates exactly once. The plates can be rotated in their plane.",A: A | B: B | C: C | D: D,['B'],"https://practicepaper.in/wp-content/uploads/GATE/CS/20221/q60.jpg, https://practicepaper.in/wp-content/uploads/GATE/CS/20221/q60a.jpg",https://gateoverflow.in/371501/Gate-cse-2022-question-5#a_list_title
17,"Given below are four statements. Statement 1: All students are inquisitive. Statement 2: Some students are inquisitive. Statement 3: No student is inquisitive. Statement 4: Some students are not inquisitive. From the given four statements, find the two statements that CANNOT BE TRUE simultaneously, assuming that there is at least one student in the class.",A: Statement 1 and Statement 3 | B: Statement 1 and Statement 2 | C: Statement 2 and Statement 4 | D: Statement 3 and Statement 4,['A'],,https://gateoverflow.in/371502/Gate-cse-2022-question-4#a_list_title
18,Let $r$ be a root of the equation $x^2+2x+6=0$ Then the value of the expression $(r+2)(r+3)(r+4)(r+5)$ is,A: $51$ | B: $-51$ | C: $126$ | D: $-126$,['D'],,https://gateoverflow.in/371503/Gate-cse-2022-question-3#a_list_title
19,"A function $y(x)$ is defined in the interval [0, 1] on the $x-$ axis as $y(x)= \left \{ \begin{matrix}
2 &if  & 0 \leq x \leq  \frac{1}{3} \\
3&  if&  \frac{1}{3} \leq x \leq  \frac{3}{4} \\
1&  if&  \frac{3}{4} \leq x \leq 1
\end{matrix} \right.$ Which one of the following is the area under the curve for the interval [0, 1] on the $x-$ axis?",A: $\frac{5}{6}$ | B: $\frac{6}{5}$ | C: $\frac{13}{6}$ | D: $\frac{6}{13}$,['C'],,https://gateoverflow.in/371504/Gate-cse-2022-question-2#a_list_title
20,The _____ is too high for it to be considered ______,A: fair / fare | B: faer / fair | C: fare / fare | D: fare / fair,['D'],,https://gateoverflow.in/371505/Gate-cse-2022-ga-question-1#a_list_title
21,"Six students P, Q, R, S, T and U, with distinct heights, compare their heights and make the following observations. Observation I: S is taller than R. Observation II: Q is the shortest of all. Observation III: U is taller than only one student. Observation IV: T is taller than S but is not the tallest The number of students that are taller than R is the same as the number of students shorter than ____________.",A: T | B: R | C: S | D: P,['C'],,https://gateoverflow.in/357540/gate-cse-2021-set-2-ga-question-10#a_list_title
22,"The number of units of a product sold in three different years and the respective net profits are presented in the figure above. The cost/unit in Year 3 was Re. 1, which was half the cost/unit in Year 2. The cost/unit in Year 3 was one-third of the cost/unit in Year 1. Taxes were paid on the selling price at 10%, 13%, and 15% respectively for the three years. Net profit is calculated as the difference between the selling price and teh sum of cost and taxes paid in that year. The ratio of the selling price in Year 2 to the selling price in Year 3 is _________.",A: 04:03 | B: 01:01 | C: 03:04 | D: 01:02,['A'],https://practicepaper.in/wp-content/uploads/GATE/CS/20212/q64.jpg,https://gateoverflow.in/357541/gate-cse-2021-set-2-ga-question-9#a_list_title
23,"The number of students in three classes is in the ratio 3:13:6. If 18 students are added to each class, the ratio changes to 15:35:21. The total number of students in all the three classes in the beginning was:",A: 22 | B: 66 | C: 88 | D: 110,['C'],,https://gateoverflow.in/357542/gate-cse-2021-set-2-ga-question-8#a_list_title
24,"A jigsaw puzzle has 2 pieces. One of the pieces is shown above. Which one of the given options for the missing piece when assembled will form a rectangle? The piece can be moved, rotated or flipped to assemble with the above piece.",A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/CS/20212/q62a.jpg, https://practicepaper.in/wp-content/uploads/GATE/CS/20212/q62b.jpg",https://gateoverflow.in/357543/gate-cse-2021-set-2-ga-question-7#a_list_title
25,Listening to music during exercise improves performance and reduces discomfort. Scientists researched whether listening to music while studying can help students learn better and the results were inconclusive. Students who needed external stimulation for studying fared worse while students who did not need any external stimulation benefited from music. Which one of the following statements is the CORRECT inference of the above passage?,A: Listening to music has no effect on learning and a positive effect on physical exercise | B: Listening to music has a clear positive effect both in physical exercise and on learning | C: Listening to music has a clear positive effect on physical exercise. Music has a positive effect on learning only in some students | D: Listening to music has a clear positive effect on learning in all students. Music has a positive effect only in some students who exercise,['C'],,https://gateoverflow.in/357544/gate-cse-2021-set-2-ga-question-6#a_list_title
26,Pen : Write :: Knife :  _______ Which one of the following options maintains a similar logical relation in the above?,A: Vegetables | B: Sharp | C: Cut | D: Blunt,['C'],,https://gateoverflow.in/357545/gate-cse-2021-set-2-ga-question-5#a_list_title
27,"If $\left( x - \dfrac{1}{2} \right)^2 - \left( x- \dfrac{3}{2} \right) ^2 = x+2$ , then the value of $x$ is:",A: 2 | B: 4 | C: 6 | D: 8,['B'],,https://gateoverflow.in/357546/gate-cse-2021-set-2-ga-question-4#a_list_title
28,"If $\theta$ is the angle, in degrees, between the longest diagonal of the cube and any one of the edges of the cube, then, $\cos \theta =$",A: $\frac{1}{2}$ | B: $\frac{1}{\sqrt{3}}$ | C: $\frac{1}{\sqrt{2}}$ | D: $\frac{\sqrt{3}}{2}$,['B'],,https://gateoverflow.in/357547/gate-cse-2021-set-2-ga-question-3#a_list_title
29,A transparent square sheet shown above is folded along the dotted line. The folded sheet will look like ___________,A: A | B: B | C: C | D: D,['B'],"https://practicepaper.in/wp-content/uploads/GATE/CS/20212/q57a.jpg, https://practicepaper.in/wp-content/uploads/GATE/CS/20212/q57b.jpg",https://gateoverflow.in/357548/gate-cse-2021-set-2-ga-question-2#a_list_title
30,Gauri said that she can play the keyboard __________ her sister.,A: as well as | B: as better as | C: as nicest as | D: as worse as,['A'],,https://gateoverflow.in/357549/gate-cse-2021-set-2-ga-question-1#a_list_title
31,Some people suggest anti-obesity measures (AOM) such as displaying calorie information in restaurant menus. Such measures sidestep addressing the core problems that cause obesity: poverty and income inequality. Which one of the following statements summarizes the passage?,"A: The proposed AOM addresses the core problems that cause obesity | B: If obesity reduces, poverty will naturally reduce, since obesity causes poverty | C: AOM are addressing the core problems and are likely to succeed | D: AOM are addressing the problem superficially",['D'],,https://gateoverflow.in/357467/gate-cse-2021-set-1-ga-question-10#a_list_title
32,"Given below are two statements 1 and 2, and two conclusions I and II Statement 1: All bacteria are microorganisms. Statement 2: All pathogens are microorganisms. Conclusion I: Some pathogens are bacteria. Conclusion II: All pathogens are not bacteria. Based on the above statements and conclusions, which one of the following options is logically CORRECT?",A: Only conclusion I is correct | B: Only conclusion II is correct | C: Either conclusion I or II is correct | D: Neither conclusion I nor II is correct,['D'],,https://gateoverflow.in/357468/gate-cse-2021-set-1-ga-question-9#a_list_title
33,There are five bags each containing identical sets of ten distinct chocolates. One chocolate is picked from each bag. The probability that at least two chocolates are identical is _________,A: 0.3024 | B: 0.4235 | C: 0.6976 | D: 0.8125,['C'],,https://gateoverflow.in/357469/gate-cse-2021-set-1-ga-question-8#a_list_title
34,"$\begin{array}{|c|c|c|c|} \hline \textbf{Items} & \textbf{Cost} & \textbf{Profit \%} & \textbf{Marked Price} \\ & (Rs.) & & (Rs.) \\ \hline P &5,400 &---&5,860\\ \hline Q&---&25&10,000\\ \hline \end{array}$ Details of prices of two items P and Q are presented in the above table. The ratio of cost of item P to cost of item Q is 3:4. Discount is calculated as the difference between the marked price and the selling price. The profit percentage is calculated as the ratio of the difference between selling price and cost, to the cost $(\text{Profit} \%=\dfrac{\text{Selling price - Cost}}{\text{Cost}} \times 100)$ The discount on item Q, as a percentage of its marked price, is _______",A: 25 | B: 12.5 | C: 10 | D: 5,['C'],,https://gateoverflow.in/357470/gate-cse-2021-set-1-ga-question-7#a_list_title
35,"We have 2 rectangular sheets of paper, M and N, of dimensions 6 cm x 1 cm each. Sheet M is rolled to form an open cylinder by bringing the short edges of the sheet together. Sheet N is cut into equal square patches and assembled to form the largest possible closed cube. Assuming the ends of the cylinder are closed, the ratio of the volume of the cylinder to that of the cube is _________",A: $\frac{\pi}{2}$ | B: $\frac{3}{\pi}$ | C: $\frac{9}{\pi}$ | D: $3 \pi$,['C'],,https://gateoverflow.in/357471/gate-cse-2021-set-1-ga-question-6#a_list_title
36,_________ is to surgery as writer is to ___________ Which one of the following options maintains a similar logical relation in the above sentence?,"A: Plan, outline | B: Hospital, library | C: Doctor, book | D: Medicine, grammar",['C'],,https://gateoverflow.in/357472/gate-cse-2021-set-1-ga-question-5#a_list_title
37,"A circular sheet of paper is folded along the lines in the direction shown. The paper, after being punched in the final folded state as shown and unfolded in the reverse order of folding, will look like _______.",A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/CS/20211/q59b.jpg, https://practicepaper.in/wp-content/uploads/GATE/CS/20211/q59a.jpg",https://gateoverflow.in/357473/gate-cse-2021-set-1-ga-question-4#a_list_title
38,Consider the following sentences: i.   Everybody in the class is prepared for the exam. ii.  Babu invited Danish to his home because he enjoys playing chess. Which of the following is the CORRECT observation about the above two sentences?,A: (i) is grammatically correct and (ii) is unambiguous | B: (i) is grammatically incorrect and (ii) is unambiguous | C: (i) is grammatically correct and (ii) is ambiguous | D: (i) is grammatically incorrect and (ii) is ambiguous,['C'],,https://gateoverflow.in/357474/gate-cse-2021-set-1-ga-question-3#a_list_title
39,"A polygon is convex if, for every pair of points, P and Q belonging to the polygon, the line segment PQ lies completely inside or on the polygon. Which one of the following is NOT a convex polygon?",A: A | B: B | C: C | D: D,['A'],https://practicepaper.in/wp-content/uploads/GATE/CS/20211/q57.jpg,https://gateoverflow.in/357475/gate-cse-2021-set-1-ga-question-2#a_list_title
40,"The ratio of boys to girls in a class is 7 to 3. Among the options below, an acceptable value for the total number of students in the class is:",A: 21 | B: 37 | C: 50 | D: 73,['C'],,https://gateoverflow.in/357476/gate-cse-2021-set-1-ga-question-1#a_list_title
41,"The total revenue of a company during 2014 - 2018 is shown in the bar graph. If the total expenditure of the company in each year is 500 million rupees, then the aggregate profit or loss (in percentage) on the total expenditure of the company during 2014 - 2018 is ___________.",A: 16.67%  profit | B: 16.67%  loss | C: 20%  profit | D: 20%  loss,['C'],https://practicepaper.in/wp-content/uploads/GATE/CS/20201/q65.jpg,https://gateoverflow.in/333231/gate-cse-2020-question-ga-10#a_list
42,"Two straight lines are drawn perpendicular to each other in X-Y plane. If $\alpha$ and $\beta$ are the acute angles the straight lines make with the X-axis, then $\alpha +\beta$ is ________.",A: $60^{\circ}$ | B: $90^{\circ}$ | C: $120^{\circ}$ | D: $180^{\circ}$,['B'],,https://gateoverflow.in/333232/gate-cse-2020-question-ga-9#a_list
43,"The figure below shows an annular ring with outer and inner as b and a, respectively. The annular space has been painted in the form of blue colour circles touching the outer and inner periphery of annular space. If maximum n number of circles can be painted, then the unpainted area available in annular space is _____.",A: $\pi [(b^{2}-a^{2})-\frac{n}{4}(b-a)^{2}]$ | B: $\pi [(b^{2}-a^{2})-n(b-a)^{2}]$ | C: $\pi [(b^{2}-a^{2})+\frac{n}{4}(b-a)^{2}]$ | D: $\pi [(b^{2}-a^{2})+n(b-a)^{2}]$,['A'],https://practicepaper.in/wp-content/uploads/GATE/CS/20201/q63.jpg,https://gateoverflow.in/333233/gate-cse-2020-question-ga-8#a_list
44,"If P=3, R=27, T=243, then Q + S = ________",A: 40 | B: 80 | C: 90 | D: 110,['C'],,https://gateoverflow.in/333234/gate-cse-2020-question-ga-7#a_list
45,"Goods and Services Tax (GST) is an indirect tax introduced in India in 2017 that is imposed on the supply of goods and services, and it subsumes all indirect taxes except few. It is a destination-based tax imposed on goods and services used, and it is not imposed at the point of origin from where goods come. GST also has a few components specific to state governments, central government  and Union Territories (UTs). Which one of the following statements can be inferred from the given passage?",A: GST is imposed on the production of goods and services. | B: GST includes all indirect taxes. | C: GST does not have a component specific to UT. | D: GST is imposed at the point of usage of goods and services.,['D'],,https://gateoverflow.in/333235/gate-cse-2020-question-ga-6#a_list
46,"There are multiple routes to reach from node 1 to node 2, as shown in the network. The cost of travel on an edge between two nodes is given in rupees. Nodes 'a', 'b', 'c', 'd', 'e', and 'f' are toll booths. The toll price at toll booths marked 'a' and 'e' is Rs. 200, and is Rs. 100 for the other toll booths. Which is the cheapest route from node 1 to node 2?",A: 1 - a - c - 2 | B: 1 - f - b - 2 | C: 1 - b - 2 | D: 1 - f - e - 2,['B'],https://practicepaper.in/wp-content/uploads/GATE/CS/20201/q60.jpg,https://gateoverflow.in/333236/gate-cse-2020-question-ga-5#a_list
47,"The dawn of the 21st century witnessed the melting glaciers oscillating between giving too much and too little to billions of people who depend on them for fresh water. The UN climate report estimates that without deep cuts to man-made emissions, at least 30% of the northern hemisphere's surface permafrost could melt by the end of the century. Given this situation of imminent global exodus of billions of people displaced by rising seas, nation-states need to rethink their carbon footprint for political concerns, if not for environmental ones. Which one of the following statements can be inferred from the given passage?",A: Nation-states do not have environmental concerns. | B: Nation-states are responsible for providing fresh water to billions of people. | C: Billions of people are responsible foe man-made emissions. | D: Billions of people are affected by melting glaciers.,['D'],,https://gateoverflow.in/333237/gate-cse-2020-question-ga-4#a_list
48,Select the word that fits the analogy: Cook : Cook :: Fly : _______,A: Flyer | B: Flying | C: Flew | D: Flighter,['A'],,https://gateoverflow.in/333238/gate-cse-2020-question-ga-3#a_list
49,His knowledge of the subject was excellent but his classroom performance was_______.,A: extremely poor | B: good | C: desirable | D: praiseworthy,['A'],,https://gateoverflow.in/333239/gate-cse-2020-question-ga-2#a_list
50,Raman is confident of speaking English _______six months as he has been practising regularly_______the last three weeks.,"A: during, for | B: for, since | C: for, in | D: within, for",['D'],,https://gateoverflow.in/333240/gate-cse-2020-question-ga-1#a_list
51,"Three of the five students are allocated to a hostel put in special requests to the warden, Given the floor plan of the vacant rooms, select the allocation plan that will accommodate all their requests. Request by X: Due to pollen allergy, I want to avoid a wing next to the garden. Request by Y: I want to live as far from the washrooms as possible, since I am very mich sensitive to smell. Request by Z: I believe in Vaastu and so I want to stay in South-West wing. The shaded rooms are already occupied. WR is washroom",A: A | B: B | C: C | D: D,['D'],https://practicepaper.in/wp-content/uploads/GATE/CS/20191/q65.jpg,https://gateoverflow.in/302863/gate-cse-2019-question-ga-10#a_list
52,"In a college, there are three student clubs, 60 students are only in the Drama club, 80 students are only in the Dance club, 30 students are only in Maths club, 40 students are in both Drama and Dance clubs, 12 students are in both Dance and Maths clubs, 7 students are in both Drama and Maths clubs, and 2 students are in all clubs. If 75% of the students in the college are not in any of these clubs, then the total number of students in the college is _____.",A: 1000 | B: 975 | C: 900 | D: 225,['C'],,https://gateoverflow.in/302864/gate-cse-2019-question-ga-9#a_list
53,"""A recent High Court judgement has sought to dispel the idea of begging as a disease - which leads to its stigmatization and criminalization  - and to regard it as a symptom. The underlying disease is the failure of the state to protect citizens who fall through the social security net."" Which one of the following statements can be inferred from the given passage?",A: Beggars are lazy people who beg because they are unwilling to work | B: Beggars are created because of the lack of social welfare schemes | C: Begging is an offence that has to be dealt with firmly | D: Begging has to be banned because it adversely affects the welfare of the state,['B'],,https://gateoverflow.in/302865/gate-cse-2019-question-ga-8#a_list
54,"In the given diagram, teachers are represented in the triangle, researchers in the circle and administrators in the rectangle. Out of the total number of the people, the percentage of administrators shall be in the range of _______",A: 0 to 15 | B: 16 to  30 | C: 31 to 45 | D: 46 to 60,['C'],https://practicepaper.in/wp-content/uploads/GATE/CS/20191/q62.jpg,https://gateoverflow.in/302866/gate-cse-2019-question-ga-7#a_list
55,"The police arrested four criminals - P, Q, R and S. The criminals knew each other. They made the following statements: P says ""Q committed the crime."" Q says ""S committed the crime."" R says "" I did not do it."" S says ""What Q said about me is false"". Assume only one of the arrested four committed the crime and only one of the statements made above is true. Who committed the crime?",A: P | B: R | C: S | D: Q,['B'],,https://gateoverflow.in/302867/gate-cse-2019-question-ga-6#a_list
56,Let $p_1$ and $p_2$ denote two arbitrary prime numbers. Which one of the following statements is correct for all values of $p_1$ and $p_2$ ?,A: $p_1 + p_2$ is not a prime number. | B: $p_1 p_2$ is not a prime number. | C: $p_1 + p_2 + 1$ is a prime number. | D: $p_1 p_2 + 1$ is a prime number.,['B'],,https://gateoverflow.in/460446/gate-cse-2025-set-2-ga-question-5#a_list
57,The paper as shown in the figure is folded to make a cube where each square corresponds to a particular face of the cube. Which one of the following options correctly represents the cube? Note: The figures shown are representative.,A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/CS/20252/q59b.webp, https://practicepaper.in/wp-content/uploads/GATE/CS/20252/q59a.webp",https://gateoverflow.in/460447/gate-cse-2025-set-2-ga-question-4#a_list
58,"If $Pe^{x} = Q e^{-x}$ for all real values of $x$ , which one of the following statements is true?",A: $P = Q = 0$ | B: $P = Q = 1$ | C: $P = 1$ ; $Q = -1$ | D: $\frac{P}{Q} = 0$,['A'],,https://gateoverflow.in/460448/gate-cse-2025-set-2-ga-question-3#a_list
59,Bird : Nest :: Bee : __________ Select the correct option to complete the analogy.,A: Kennel | B: Hammock | C: Hive | D: Lair,['C'],,https://gateoverflow.in/460449/gate-cse-2025-set-2-ga-question-2#a_list
60,"Despite his initial hesitation, Rehman's __________ to contribute to the success of the project never wavered. Select the most appropriate option to complete the above sentence.",A: ambivalence | B: satisfaction | C: resolve | D: revolve,['C'],,https://gateoverflow.in/460450/gate-cse-2025-set-2-ga-question-1#a_list
61,A court is to a judge as _________ is to a teacher.,A: a student | B: a punishment | C: a syllabus | D: a school,['D'],,https://gateoverflow.in/302868/gate-cse-2019-question-ga-5#a_list
62,"Ten friends planned to share equally the cost of buying a gift for their teacher. When two of them decided not to contribute, each of the other friends had to pay Rs. 150 more. The cost of the gift was Rs. ___",A: 666 | B: 3000 | C: 6000 | D: 12000,['C'],,https://gateoverflow.in/302869/gate-cse-2019-question-ga-4#a_list
63,Two cars at the same time from the same location and go in the same direction. The speed of the first car is 50 km/h and the speed of the second car is 60 km/h. The number of hours it takes for the distance between the two cars to be 20 km is _____.,A: 1 | B: 2 | C: 3 | D: 6,['B'],,https://gateoverflow.in/302870/gate-cse-2019-question-ga-3#a_list
64,The search engine's business model ____ around the fulcrum of trust.,A: revolves | B: plays | C: sinks | D: bursts,['A'],,https://gateoverflow.in/302871/gate-cse-2019-question-ga-2#a_list
65,"The expenditure on the project __________ as follows: equipment Rs.20 lakhs, salaries Rs.12 lakhs, and contingency Rs.3 lakhs.",A: break down | B: break | C: breaks down | D: breaks,['C'],,https://gateoverflow.in/302872/gate-cse-2019-question-ga-1#a_list
66,A six sided unbiased die with four green faces and two red faces is rolled seven times. Which of the following combinations is the most likely outcome of the experiment?,A: Three green faces and four red faces. | B: Four green faces and three red faces. | C: Five green faces and two red faces. | D: Six green faces and one red face,['C'],,https://gateoverflow.in/204071/gate-cse-2018-question-ga-10#a_list
67,"In the figure below, $\angle DEC + \angle BFC$ is equal to _____",A: $\angle BCD - \angle BAD$ | B: $\angle BAD + \angle BCF$ | C: $\angle BAD + \angle BCD$ | D: $\angle CBA + \angle ADC$,['A'],https://practicepaper.in/wp-content/uploads/GATE/CS/2018/q64.webp,https://gateoverflow.in/204070/gate-cse-2018-question-ga-9#a_list
68,"In a party, 60% of the invited guests are male and 40% are female. If 80% of the invited guests attended the party and if all the invited female guests attended, what would be the ratio of males to females among the attendees in the party?",A: 02:03 | B: 01:01 | C: 03:02 | D: 02:01,['B'],,https://gateoverflow.in/204069/gate-cse-2018-question-ga-8#a_list
69,"If $pqr\neq 0$ and $p^{-x}=\dfrac{1}{q},q^{-y}=\dfrac{1}{r},r^{-z}=\dfrac{1}{p},$ what is the value
of the product $xyz$ ?",A: -1 | B: $\frac{1}{pqr}$ | C: 1 | D: $pqr$,['C'],,https://gateoverflow.in/204068/gate-cse-2018-question-ga-7#a_list
70,"In appreciation of the social improvements completed in a town, a wealthy philanthropist
decided to gift Rs. 750 to each male senior citizen in the town and Rs. 1000 to each
female senior citizen.  Altogether, there were 300 senior citizens eligible for this gift. However,
only ${\frac{8}{9}}^{th}$ of the eligible men and ${\frac{2}{3}}^{rd}$ of the eligible women claimed the gift. How much
money (in Rupees) did the philanthropist give away in total?","A: 1,50,000 | B: 2,00,000 | C: 1,75,000 | D: 1,51,000",['B'],,https://gateoverflow.in/204067/gate-cse-2018-question-ga-6#a_list
71,"What is the missing number in the following sequence? 2, 12, 60, 240, 720, 1440,  _____ ,0",A: 2880 | B: 1440 | C: 720 | D: 0,['B'],,https://gateoverflow.in/204066/gate-cse-2018-question-ga-5#a_list
72,"What would be the smallest natural number which when divided either by 20 or by 42
or by 76 leaves a remainder of 7 in each case?",A: 3047 | B: 6047 | C: 7987 | D: 63847,['C'],,https://gateoverflow.in/204065/gate-cse-2018-question-ga-4#a_list
73,The area of a square is $d$ . What is the area of the circle which has the diagonal of the square as its diameter?,A: $\pi d$ | B: $\pi d^2$ | C: $\frac{1}{4} \pi d^2$ | D: $\frac{1}{2} \pi d$,['D'],,https://gateoverflow.in/204064/gate-cse-2018-question-ga-3#a_list
74,"A ________ investigation can sometimes yield new facts, but typically organized ones are more successful. The word that best fills the blank in the above sentence is",A: meandering | B: timely | C: consistent | D: systematic,['A'],,https://gateoverflow.in/204063/gate-cse-2018-question-ga-2#a_list
75,"""From where are they bringing their books? _______ bringing _______ books from ________"" The words that best fill the blanks in the above sentence are","A: Their, they're, there | B: They're, their, there | C: There, their, they're | D: They're, there,there",['B'],,https://gateoverflow.in/204062/gate-cse-2018-question-ga-1#a_list
